family,label,n,mean,sd,median,ci95_low,ci95_high
local_lab,TracePolicy:precision,30,1.0,0.0,1.0,1.0,1.0
local_lab,TracePolicy:recall,30,0.5697554535840197,0.04687663116550433,0.5725359911406422,0.5529610003488243,0.585850709367685
local_lab,TracePolicy:f1,30,0.7247968008538975,0.038803005150543676,0.7281683833407971,0.7108243661482756,0.7380621579034436
local_lab,TracePolicy:fpr,30,0.0,0.0,0.0,0.0,0.0
local_lab,TracePolicy:episode_precision,30,1.0,0.0,1.0,1.0,1.0
local_lab,TracePolicy:episode_recall,30,0.9952994429766174,0.009616617447630467,1.0,0.991702790274868,0.9984294161123429
local_lab,TracePolicy:episode_f1,30,0.9976215112914275,0.004866597480198766,1.0,0.9958030303146944,0.999205335603803
local_lab,Suricata:precision,30,1.0,0.0,1.0,1.0,1.0
local_lab,Suricata:recall,30,0.9664397045548369,0.004461293806295081,0.9670776317572145,0.964858879562021,0.968000581107506
local_lab,Suricata:f1,30,0.9829284127417787,0.0023075699064466965,0.9832633053221288,0.982111264483129,0.9837348761373409
local_lab,Suricata:fpr,30,0.0,0.0,0.0,0.0,0.0
local_lab,Suricata:episode_precision,30,1.0,0.0,1.0,1.0,1.0
local_lab,Suricata:episode_recall,30,1.0,0.0,1.0,1.0,1.0
local_lab,Suricata:episode_f1,30,1.0,0.0,1.0,1.0,1.0
local_lab,Wazuh:precision,30,1.0,0.0,1.0,1.0,1.0
local_lab,Wazuh:recall,30,0.3612166209831145,0.028077389344538496,0.3611789326822462,0.35144719425042037,0.37097198296182304
local_lab,Wazuh:f1,30,0.5301233404749073,0.03023943317821119,0.5306852409638554,0.5195461309970749,0.5405818951588816
local_lab,Wazuh:fpr,30,0.0,0.0,0.0,0.0,0.0
local_lab,Wazuh:episode_precision,30,1.0,0.0,1.0,1.0,1.0
local_lab,Wazuh:episode_recall,30,0.9961541438313184,0.008795722327791803,1.0,0.992808573540281,0.9991869918699188
local_lab,Wazuh:episode_f1,30,0.9980544117243279,0.004450198359083207,1.0,0.9963625788460893,0.9995884773662552
rq2_cost,intrinsic_us,32,415.89053125,134.03075242259416,393.77099999999996,370.69409296875,462.3004703124999
rq2_cost,shap_us,32,6249.267625,6252.812009708523,4909.057,4888.0209359375,8627.56904453125
rq2_cost,lime_us,32,109213.33946875,17392.369793296,102465.6645,103752.55266875,115455.35797265625
rq4_darpa_latency,collision:P=50:indexed:mean_us,30,29.516777316666666,1.1715667660589095,29.24042975,29.182721372666666,29.977113849
rq4_darpa_latency,collision:P=50:incremental:mean_us,30,30.70554685,2.8017969107590446,29.840775100000002,29.84028197658333,31.825934570583335
rq4_darpa_latency,collision:P=200:indexed:mean_us,30,114.05870881666667,4.31630506511175,111.9733726,112.59944901916668,115.66563281741666
rq4_darpa_latency,collision:P=200:incremental:mean_us,30,114.152781,4.529631809525444,112.196349,112.67354392091666,115.82847837766664
rq4_darpa_latency,collision:P=500:indexed:mean_us,30,278.51074678,8.699562738023836,277.16321559999994,275.6724242689167,281.82765156525
rq4_darpa_latency,collision:P=500:incremental:mean_us,30,281.5244945233334,10.957489419251273,281.67846525,278.08125315599995,285.5755086689167
rq4_darpa_latency,selective:P=50:indexed:mean_us,30,8.413734566666665,0.5570843369505278,8.327113399999998,8.258899552666668,8.643300946666665
rq4_darpa_latency,selective:P=50:incremental:mean_us,30,9.128261253333333,1.3215225409926352,8.72758365,8.74422298441667,9.660524250833332
rq4_darpa_latency,selective:P=200:indexed:mean_us,30,9.134148960000001,1.0506012561394587,8.8305605,8.86344345,9.565051773416666
rq4_darpa_latency,selective:P=200:incremental:mean_us,30,9.439925543333333,0.6800661146008352,9.1692605,9.24612112175,9.718073193416668
rq4_darpa_latency,selective:P=500:indexed:mean_us,30,9.865750793333335,0.9080535844154921,9.647675999999999,9.592067915583332,10.2220482215
rq4_darpa_latency,selective:P=500:incremental:mean_us,30,10.325940333333335,0.9264282793326052,10.0515194,10.049689158333333,10.689609764250001
toniot,RF:f1,30,0.5902240842072841,0.005003421507704064,0.5902046110456138,0.5884724085366663,0.5919723931942833
toniot,IF:f1,30,0.39157076214940195,0.009778176280041974,0.3919913613062903,0.38805728526838806,0.3948935554809844
toniot,RF:auc_roc,30,0.5097826746672185,0.005600743284580434,0.5092177736395613,0.5078213481964273,0.5117590692461548
toniot,IF:auc_roc,30,0.5058961445616939,0.003189438197839684,0.5058932340161391,0.5047681271122146,0.5070050248292985
toniot,RF:auc_pr,30,0.5230376829710952,0.0036052859116595445,0.5232582075940972,0.5217858006420792,0.5243154903697782
toniot,IF:auc_pr,30,0.527063337856024,0.0022328328036239566,0.5268752056683439,0.5262959185161696,0.5278422952959492
