,count,mean,std,min,25%,50%,75%,max
precision,480.0,0.9984312349207999,0.0013670492378041275,0.9966887417218544,0.9972807576116574,0.9975,1.0,1.0
recall,480.0,0.036415625,0.003014257288115292,0.0301,0.03415,0.0371,0.03945,0.0399
f1,480.0,0.07025202348951644,0.005619692249686305,0.0584352552902349,0.06604445557430437,0.0715387581951407,0.07590356212391473,0.0767381478988364
fpr,480.0,1.1458333333333335e-05,9.903413159410484e-06,0.0,0.0,2e-05,2e-05,2e-05
tp,480.0,364.15625,30.142572881152926,301.0,341.5,371.0,394.5,399.0
tn,480.0,49999.427083333336,0.4951706579705241,49999.0,49999.0,49999.0,50000.0,50000.0
fp,480.0,0.5729166666666666,0.49517065797052406,0.0,0.0,1.0,1.0,1.0
fn,480.0,9635.84375,30.142572881152926,9601.0,9605.5,9629.0,9658.5,9699.0
seed,480.0,2026081415.5,8.664471645376201,2026081401.0,2026081408.0,2026081415.5,2026081423.0,2026081430.0
policy_relaxation_fraction,480.0,0.2125,0.18852797536381913,0.0,0.07500000000000001,0.175,0.3125,0.5
trace_dropout_fraction,480.0,0.08750000000000001,0.07402815014988406,0.0,0.037500000000000006,0.07500000000000001,0.125,0.2
n,480.0,60000.0,0.0,60000.0,60000.0,60000.0,60000.0,60000.0
