precision,recall,f1,fpr,tp,tn,fp,fn,repetition,n,mean_us,p50_us,p95_us,p99_us,policy_version,policy_rules,train_files,test_files
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,0,7828382,24.151581893109743,12.9,73.405,145.12,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,1,7828382,41.24565020870813,25.304,113.016,201.026,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,2,7828382,14.314263571206283,11.1,26.702,54.403,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,3,7828382,14.34554332848589,11.101,27.502,55.503,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,4,7828382,13.67801236591272,11.001,25.201,45.803,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,5,7828382,13.70142570125879,11.001,25.002,47.302,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,6,7828382,13.65564769516124,11.0,25.001,46.102,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,7,7828382,13.648759336621993,11.001,24.802,46.402,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,8,7828382,13.68982637972043,11.001,24.901,46.602,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,9,7828382,13.741796290359737,11.0,25.101,48.203,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,10,7828382,13.740104730475032,11.0,25.301,47.002,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,11,7828382,13.85803093872029,11.001,25.401,49.703,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,12,7828382,13.856008859834137,11.0,25.401,49.802,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,13,7828382,13.783563135801153,11.001,25.201,48.103,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,14,7828382,13.585886283928387,10.901,24.801,45.202,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,15,7828382,13.634950999853233,11.0,24.801,44.902,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,16,7828382,13.624246192263154,11.001,24.801,44.902,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,17,7828382,13.66616035524613,11.0,24.601,47.103,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,18,7828382,13.561391055404943,11.001,24.501,44.203,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,19,7828382,13.709500325115107,11.001,24.601,47.302,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,20,7828382,13.678164620756261,11.0,25.301,46.502,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,21,7828382,13.760064225035926,11.001,25.202,47.402,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,22,7828382,13.70572037377388,11.0,25.102,47.702,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,23,7828382,13.76158638938577,11.0,25.101,48.702,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,24,7828382,13.810905573601099,11.001,25.401,49.302,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,25,7828382,13.656263040074023,10.901,25.101,46.302,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,26,7828382,13.84600454730856,11.3,25.101,45.002,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,27,7828382,13.84589381076145,11.201,25.201,45.502,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,28,7828382,13.557842886326782,11.0,24.501,45.303,1,79,4,3
0.9979577605100618,0.042322487425774574,0.0812013010041239,1.1915826600891303e-05,40070,6881522,82,906708,29,7828382,13.60787706207896,11.0,24.701,45.604,1,79,4,3
