mean_us,p50_us,p95_us,p99_us,throughput_eps,mean_candidates,divergences,seed,mode,P,engine,n
10.7657881,9.7,16.401,36.40300000000002,92886.83658932503,50.0,0,2026081418,selective,50,reference,10000
7.9495219,7.4,10.0,28.502000000000024,125793.72855114721,1.7257,0,2026081418,selective,50,indexed,10000
8.7694927,7.7,11.9,32.80300000000002,114031.6816729889,1.7257,0,2026081418,selective,50,incremental,10000
11.5993038,9.801,17.201,40.402,86212.0707623849,50.0,0,2026081419,selective,50,reference,10000
8.6377915,7.5,13.501,34.30300000000002,115770.33319222859,1.7257,0,2026081419,selective,50,indexed,10000
8.4933738,7.8,11.0,31.103000000000023,117738.8424844789,1.7257,0,2026081419,selective,50,incremental,10000
11.008305,9.8,17.401,39.00599000000007,90840.50632681417,50.0,0,2026081420,selective,50,reference,10000
8.3895541,7.401,13.401,33.502,119195.8461773314,1.7257,0,2026081420,selective,50,indexed,10000
8.5538177,7.9,11.401,30.702,116906.86370367702,1.7257,0,2026081420,selective,50,incremental,10000
15.060784600000002,10.201,26.70105,57.803,66397.60321650174,50.0,0,2026081421,selective,50,reference,10000
8.3628626,7.7,11.401,27.802990000000023,119576.28001684496,1.7257,0,2026081421,selective,50,indexed,10000
8.7691105,7.8,13.601,36.20300000000002,114036.6517219734,1.7257,0,2026081421,selective,50,incremental,10000
11.541822999999999,9.9,17.201,38.902,86641.42570891965,50.0,0,2026081422,selective,50,reference,10000
8.328779199999998,7.401,12.401,32.603000000000016,120065.61537854194,1.7257,0,2026081422,selective,50,indexed,10000
9.066336100000001,7.9,14.501,33.60400000000004,110298.1390685483,1.7257,0,2026081422,selective,50,incremental,10000
10.815930900000001,9.7,17.201,38.20500000000006,92456.21197524476,50.0,0,2026081423,selective,50,reference,10000
8.311511900000001,7.5,12.301,32.70300000000002,120315.05363061561,1.7257,0,2026081423,selective,50,indexed,10000
8.802318699999999,7.801,13.801,34.50300000000002,113606.42963313748,1.7257,0,2026081423,selective,50,incremental,10000
11.044089300000001,9.9,16.901,37.603000000000016,90546.17115419375,50.0,0,2026081424,selective,50,reference,10000
8.413701000000001,7.401,11.801,35.00300000000002,118853.76007538178,1.7257,0,2026081424,selective,50,indexed,10000
