seed,sid,rule_id,level
2026081401,534e86a7-d1e2-4457-407a-3d18f5c1b5d3,100014,10
2026081401,a1386286-cc41-b95d-75b0-9c65b201cd43,100002,10
2026081401,2407c035-b3b8-2aa3-e89e-0f9e26361d74,100014,10
2026081401,ac25a983-ccfb-726c-0a1f-eb2f7151a611,100014,10
2026081401,9777e7a1-642e-62ee-3412-ac35a3c1f0ef,100014,10
2026081401,4544a2ef-bdfb-14d3-f793-b3010db02eed,100014,10
2026081401,eba9d7e6-7e60-c76d-8b84-bdf31100b0be,100014,10
2026081401,349b00ad-be35-f48d-0765-db1cdc5ef426,100014,10
2026081401,2d2c04ab-f816-5806-c875-4ee8d76f72ab,100014,10
2026081401,821a55c0-cba8-d51a-6701-4783b80b619e,100003,10
2026081401,4b3c5a2b-b1eb-86d3-0867-7f481c486746,100014,10
2026081401,2e20ac21-bc2f-4337-aa5a-926ead285f35,100014,10
2026081401,a2dac5e6-985c-5c16-8559-5602683af9aa,100014,10
2026081401,efa466b6-8275-bed8-dd96-80e90bbb85a3,100001,10
2026081401,26b03cee-6717-56fb-edca-c5db9b93de67,100014,10
2026081401,f4858c9d-bbb5-6954-974f-27befd4467b6,100014,10
2026081401,2efa23e7-2b5f-deb9-0479-01c0f7d9bd4e,100002,10
2026081401,9652b380-d1d2-0f2c-5664-a4c021d5ac5b,100003,10
2026081401,4abf15aa-b546-205e-34ea-b37e5fab3f2e,100001,10
2026081401,5a258214-e8e3-4a02-f140-ade05ff48ceb,100002,10
2026081401,1732973c-780b-bb19-f8b7-41bcf765d380,100001,10
2026081401,bfbf06b7-e77b-7131-bfe3-3803053dfa7b,100014,10
2026081401,f9ea5e7b-c313-76e5-be8b-b4bab5ec35bc,100014,10
2026081401,c37eae7f-d738-5b62-b2d1-263e66eb081f,100014,10
2026081401,eeae489b-d013-75ae-3c72-9746820e6a18,100001,10
2026081401,26b34430-486b-3854-eb47-0fab7eea214b,100014,10
2026081401,2974cf63-4211-bb12-0857-fdd03f23683b,100001,10
2026081401,5c6493a3-7259-9b1e-b1a2-5cc8784fc493,100014,10
2026081401,305cce67-1300-9954-1d9b-10db74be81c3,100002,10
2026081401,b3097103-70c1-84a7-57be-63d24ace1d56,100014,10
2026081401,c2fc594b-cee5-a052-abe2-91cd7dae3763,100014,10
2026081401,334f06d2-be80-e224-5bd3-bff0aae6bfe9,100014,10
2026081401,3f024014-277d-3617-7636-4543e8a3b6e8,100014,10
2026081401,aff275ab-9880-5bd3-d3cf-a78b5f94b1a1,100014,10
2026081401,96702d7e-ba00-479d-ff7d-7ceb65d87dcb,100001,10
2026081401,71e175ee-0b5a-f728-50f4-9543cb8b69fb,100014,10
