seed,updates,mean_update_us,p95_update_us,reference_mean_us,incremental_mean_us
2026081401,5,261.6752,321.0784,393.19252500000005,10.085576666666666
2026081402,5,234.3536,290.477,387.88189166666666,9.803236666666665
2026081403,5,222.353,228.833,388.54189833333334,10.109426666666666
2026081404,5,243.45420000000001,298.9174,395.94634499999995,10.372785
2026081405,5,228.9532,258.0946,388.45270500000004,10.136296666666667
2026081406,5,224.1732,254.4346,385.8365983333333,10.014258333333332
2026081407,5,278.036,423.84479999999996,405.10186666666664,10.555113333333333
2026081408,5,225.513,264.31559999999996,393.79636,9.91376
2026081409,5,246.5146,299.5772,403.561785,10.395791666666666
2026081410,5,248.25420000000003,348.9604,397.53712666666667,10.131731666666667
2026081411,5,226.033,246.8346,393.5394933333333,10.215633333333333
2026081412,5,297.5774,384.74260000000004,487.096315,13.88812
2026081413,5,316.25840000000005,402.9634,524.7016616666666,15.545251666666667
2026081414,5,393.64320000000004,596.8749999999999,470.0991583333333,14.196663333333333
2026081415,5,309.77840000000003,500.2496,401.88439666666665,10.29713
2026081416,5,249.63479999999998,323.5792,397.2818066666666,10.517638333333334
2026081417,5,237.3144,286.0372,388.86264500000004,9.986093333333335
2026081418,5,283.15659999999997,452.4072,412.7030733333333,10.965145
2026081419,5,306.4384,469.20759999999996,459.59799499999997,13.365506666666667
2026081420,5,339.4802,559.7733999999999,405.144295,10.363775
2026081421,5,303.658,417.02439999999996,395.993575,10.135278333333334
2026081422,5,304.938,534.1117999999999,405.44097166666666,10.616965
2026081423,5,312.75840000000005,523.4509999999999,391.719465,9.635583333333335
2026081424,5,271.63640000000004,397.74359999999996,387.70890999999995,10.214423333333334
2026081425,5,261.9558,363.722,403.37734,9.853426666666666
2026081426,5,371.2218,706.5822,393.9547616666667,10.396806666666667
2026081427,5,277.45640000000003,393.2634,389.918205,10.604316666666668
2026081428,5,242.63420000000002,279.97659999999996,389.08465,9.977411666666667
2026081429,5,229.25379999999998,257.03479999999996,395.26801666666665,10.66298
2026081430,5,218.453,224.913,398.3238866666667,10.72744
