seed,kind,unit,shap_target,in_intrinsic_core
2026081401,secret_read,e:0,0.0,0
2026081401,secret_read,e:1,0.0,0
2026081401,secret_read,e:2,0.0,0
2026081401,secret_read,e:3,0.49999999999999983,1
2026081401,secret_read,r:D_SECRET_READ,0.49999999999999967,1
2026081402,system_write,e:0,0.0,0
2026081402,system_write,e:1,0.0,0
2026081402,system_write,e:2,0.0,0
2026081402,system_write,e:3,0.49999999999999983,1
2026081402,system_write,r:D_SYSTEM_WRITE,0.49999999999999967,1
2026081403,system_exec,e:0,0.0,0
2026081403,system_exec,e:1,0.0,0
2026081403,system_exec,e:2,0.0,0
2026081403,system_exec,e:3,0.49999999999999983,1
2026081403,system_exec,r:D_SYSTEM_EXEC,0.49999999999999967,1
2026081404,scan,e:0,0.24999999999999997,1
2026081404,scan,e:1,0.25000000000000017,1
2026081404,scan,e:2,0.25,1
2026081404,scan,r:D_SCAN,0.24999999999999994,1
2026081404,scan,r:A_NETWORK_CONNECT,0.0,0
2026081405,secret_read,e:0,0.0,0
2026081405,secret_read,e:1,0.0,0
2026081405,secret_read,e:2,0.0,0
2026081405,secret_read,e:3,0.49999999999999983,1
2026081405,secret_read,r:D_SECRET_READ,0.49999999999999967,1
2026081406,system_write,e:0,0.0,0
2026081406,system_write,e:1,0.0,0
2026081406,system_write,e:2,0.0,0
2026081406,system_write,e:3,0.49999999999999983,1
2026081406,system_write,r:D_SYSTEM_WRITE,0.49999999999999967,1
2026081407,system_exec,e:0,0.0,0
2026081407,system_exec,e:1,0.0,0
2026081407,system_exec,e:2,0.0,0
2026081407,system_exec,e:3,0.49999999999999983,1
2026081407,system_exec,r:D_SYSTEM_EXEC,0.49999999999999967,1
2026081408,scan,e:0,0.24999999999999997,1
2026081408,scan,e:1,0.25000000000000017,1
2026081408,scan,e:2,0.25,1
2026081408,scan,r:D_SCAN,0.24999999999999994,1
2026081408,scan,r:A_NETWORK_CONNECT,0.0,0
2026081409,secret_read,e:0,0.0,0
2026081409,secret_read,e:1,0.0,0
2026081409,secret_read,e:2,0.0,0
2026081409,secret_read,e:3,0.49999999999999983,1
2026081409,secret_read,r:D_SECRET_READ,0.49999999999999967,1
2026081410,system_write,e:0,0.0,0
2026081410,system_write,e:1,0.0,0
2026081410,system_write,e:2,0.0,0
2026081410,system_write,e:3,0.49999999999999983,1
2026081410,system_write,r:D_SYSTEM_WRITE,0.49999999999999967,1
2026081411,system_exec,e:0,0.0,0
2026081411,system_exec,e:1,0.0,0
2026081411,system_exec,e:2,0.0,0
2026081411,system_exec,e:3,0.49999999999999983,1
2026081411,system_exec,r:D_SYSTEM_EXEC,0.49999999999999967,1
2026081412,scan,e:0,0.24999999999999997,1
2026081412,scan,e:1,0.25000000000000017,1
2026081412,scan,e:2,0.25,1
2026081412,scan,r:D_SCAN,0.24999999999999994,1
2026081412,scan,r:A_NETWORK_CONNECT,0.0,0
2026081413,secret_read,e:0,0.0,0
2026081413,secret_read,e:1,0.0,0
2026081413,secret_read,e:2,0.0,0
2026081413,secret_read,e:3,0.49999999999999983,1
2026081413,secret_read,r:D_SECRET_READ,0.49999999999999967,1
2026081414,system_write,e:0,0.0,0
2026081414,system_write,e:1,0.0,0
2026081414,system_write,e:2,0.0,0
2026081414,system_write,e:3,0.49999999999999983,1
2026081414,system_write,r:D_SYSTEM_WRITE,0.49999999999999967,1
2026081415,system_exec,e:0,0.0,0
2026081415,system_exec,e:1,0.0,0
2026081415,system_exec,e:2,0.0,0
2026081415,system_exec,e:3,0.49999999999999983,1
2026081415,system_exec,r:D_SYSTEM_EXEC,0.49999999999999967,1
2026081416,scan,e:0,0.24999999999999997,1
2026081416,scan,e:1,0.25000000000000017,1
2026081416,scan,e:2,0.25,1
2026081416,scan,r:D_SCAN,0.24999999999999994,1
2026081416,scan,r:A_NETWORK_CONNECT,0.0,0
2026081417,secret_read,e:0,0.0,0
2026081417,secret_read,e:1,0.0,0
2026081417,secret_read,e:2,0.0,0
2026081417,secret_read,e:3,0.49999999999999983,1
2026081417,secret_read,r:D_SECRET_READ,0.49999999999999967,1
2026081418,system_write,e:0,0.0,0
2026081418,system_write,e:1,0.0,0
2026081418,system_write,e:2,0.0,0
2026081418,system_write,e:3,0.49999999999999983,1
2026081418,system_write,r:D_SYSTEM_WRITE,0.49999999999999967,1
2026081419,system_exec,e:0,0.0,0
2026081419,system_exec,e:1,0.0,0
2026081419,system_exec,e:2,0.0,0
2026081419,system_exec,e:3,0.49999999999999983,1
2026081419,system_exec,r:D_SYSTEM_EXEC,0.49999999999999967,1
2026081420,scan,e:0,0.24999999999999997,1
2026081420,scan,e:1,0.25000000000000017,1
2026081420,scan,e:2,0.25,1
2026081420,scan,r:D_SCAN,0.24999999999999994,1
2026081420,scan,r:A_NETWORK_CONNECT,0.0,0
2026081421,secret_read,e:0,0.0,0
2026081421,secret_read,e:1,0.0,0
2026081421,secret_read,e:2,0.0,0
2026081421,secret_read,e:3,0.49999999999999983,1
2026081421,secret_read,r:D_SECRET_READ,0.49999999999999967,1
2026081422,system_write,e:0,0.0,0
2026081422,system_write,e:1,0.0,0
2026081422,system_write,e:2,0.0,0
2026081422,system_write,e:3,0.49999999999999983,1
2026081422,system_write,r:D_SYSTEM_WRITE,0.49999999999999967,1
2026081423,system_exec,e:0,0.0,0
2026081423,system_exec,e:1,0.0,0
2026081423,system_exec,e:2,0.0,0
2026081423,system_exec,e:3,0.49999999999999983,1
2026081423,system_exec,r:D_SYSTEM_EXEC,0.49999999999999967,1
2026081424,scan,e:0,0.24999999999999997,1
2026081424,scan,e:1,0.25000000000000017,1
2026081424,scan,e:2,0.25,1
2026081424,scan,r:D_SCAN,0.24999999999999994,1
2026081424,scan,r:A_NETWORK_CONNECT,0.0,0
2026081425,secret_read,e:0,0.0,0
2026081425,secret_read,e:1,0.0,0
2026081425,secret_read,e:2,0.0,0
2026081425,secret_read,e:3,0.49999999999999983,1
2026081425,secret_read,r:D_SECRET_READ,0.49999999999999967,1
2026081426,system_write,e:0,0.0,0
2026081426,system_write,e:1,0.0,0
2026081426,system_write,e:2,0.0,0
2026081426,system_write,e:3,0.49999999999999983,1
2026081426,system_write,r:D_SYSTEM_WRITE,0.49999999999999967,1
2026081427,system_exec,e:0,0.0,0
2026081427,system_exec,e:1,0.0,0
2026081427,system_exec,e:2,0.0,0
2026081427,system_exec,e:3,0.49999999999999983,1
2026081427,system_exec,r:D_SYSTEM_EXEC,0.49999999999999967,1
2026081428,scan,e:0,0.24999999999999997,1
