seed,P,engine,n_events,mean_us,p50_us,p95_us,p99_us,throughput_eps,mean_candidate_rules
2026081401,50,reference,500,282.077988,274.116,538.0709999999998,673.398,3545.1188768405423,50.0
2026081401,50,indexed,500,275.961842,272.616,515.2399999999999,642.5429999999999,3623.6893939851293,1.04
2026081401,50,incremental,500,8.634682000000002,7.2,13.515999999999986,33.91299999999999,115812.0241139164,1.04
2026081401,200,reference,500,306.731622,288.86699999999996,631.7069999999998,912.6250299999995,3260.1790238634085,200.0
2026081401,200,indexed,500,283.165454,271.616,558.2969999999998,818.6620699999987,3531.504234976347,1.04
2026081401,200,incremental,500,8.826099999999999,7.3,15.715999999999987,34.60699999999999,113300.32517193326,1.04
2026081401,500,reference,500,338.81127399999997,324.119,615.6459999999998,858.778,2951.495645921157,500.0
2026081401,500,indexed,500,275.962792,272.76599999999996,534.8759999999997,706.3160099999998,3623.6769194594904,1.04
2026081401,500,incremental,500,8.291315999999998,7.3,11.310949999999991,32.007999999999996,120608.11576835332,1.04
2026081402,50,reference,500,337.285784,276.16549999999995,752.9040499999988,1086.310059999999,2964.8447916796877,50.0
2026081402,50,indexed,500,323.335398,266.6655,738.1279999999999,1241.728059999999,3092.7637561044276,1.046
2026081402,50,incremental,500,11.704832,8.150500000000001,22.40105,57.014999999999986,85434.8016272254,1.046
2026081402,200,reference,500,375.88582400000007,298.117,894.4919999999996,1400.5622599999958,2660.382318647909,200.0
2026081402,200,indexed,500,349.48928599999994,277.51649999999995,775.2000499999998,1033.4671499999974,2861.3180433805924,1.046
2026081402,200,incremental,500,11.063448000000001,8.401,24.81099999999999,53.885999999999925,90387.7344567444,1.046
2026081402,500,reference,500,404.733482,382.62199999999996,780.545,1124.7060399999991,2470.7617345085378,500.0
2026081402,500,indexed,500,328.451852,322.069,620.6010499999998,891.1840599999991,3044.5862731807647,1.046
2026081402,500,incremental,500,12.784972,9.701,25.08099999999993,65.26899999999993,78216.8314486727,1.046
2026081403,50,reference,500,289.08716200000003,271.8655,585.579,789.79301,3459.1643332815997,50.0
2026081403,50,indexed,500,282.891414,275.666,570.0930499999996,697.99401,3534.925241668876,1.038
2026081403,50,incremental,500,9.316772,7.401,19.010999999999992,34.505009999999906,107333.31243911518,1.038
2026081403,200,reference,500,301.166876,291.8165,560.538,699.9190099999997,3320.4182786688666,200.0
2026081403,200,indexed,500,278.77398999999997,266.31600000000003,535.456,686.0600299999995,3587.135227357474,1.038
2026081403,200,incremental,500,9.019315999999998,7.401,15.030999999999972,32.12099999999998,110873.15268696652,1.038
2026081403,500,reference,500,343.88753,331.219,638.2919999999998,917.9780299999996,2907.927484314421,500.0
2026081403,500,indexed,500,281.828794,266.2155,551.872,728.2850099999999,3548.2534832831875,1.038
2026081403,500,incremental,500,8.950520000000001,7.3,15.815999999999987,35.42198999999998,111725.3522700357,1.038
2026081404,50,reference,500,284.24031799999995,275.666,552.037,678.9409999999999,3518.149736941964,50.0
2026081404,50,indexed,500,277.918334,270.916,542.2810499999997,673.3300099999999,3598.1793126321777,1.022
2026081404,50,incremental,500,8.930309999999999,7.301,15.13594999999997,39.93600999999997,111978.19560575167,1.022
2026081404,200,reference,500,314.118818,298.8675,593.4190499999995,813.7630099999999,3183.508732036551,200.0
2026081404,200,indexed,500,292.174172,268.9155,582.3539999999999,759.8400099999999,3422.616014121878,1.022
2026081404,200,incremental,500,9.987588,7.9,19.706049999999998,45.229009999999974,100124.2742491981,1.022
2026081404,500,reference,500,341.49424000000005,322.769,625.5810499999997,941.2019999999998,2928.307077741633,500.0
2026081404,500,indexed,500,281.906796,270.41549999999995,539.2469499999999,767.0870199999998,3547.271701814525,1.022
2026081404,500,incremental,500,9.23072,7.6505,16.101,38.166009999999936,108333.91111419261,1.022
2026081405,50,reference,500,286.200406,275.666,540.2509999999999,708.948,3494.0551412075915,50.0
2026081405,50,indexed,500,279.33121400000005,275.31600000000003,540.0409999999999,637.3889999999999,3579.979429008603,1.046
2026081405,50,incremental,500,10.494396,7.401,13.905999999999995,36.60799999999999,95288.95231321554,1.046
2026081405,200,reference,500,303.69226199999997,286.8665,597.0390499999993,756.0400099999998,3292.806979718173,200.0
2026081405,200,indexed,500,282.421614,264.31600000000003,519.2600499999999,715.1970099999999,3540.8054852345686,1.046
2026081405,200,incremental,500,8.8841,7.5504999999999995,14.91099999999999,29.807999999999993,112560.64204590223,1.046
2026081405,500,reference,500,336.633958,328.019,639.4670499999996,816.96101,2970.5856353327254,500.0
