system,event_f1,episode_f1,event_recall,episode_recall
TracePolicy,0.7247968008538975,0.9976215112914275,0.5697554535840197,0.9952994429766174
Suricata,0.9829284127417787,1.0,0.9664397045548369,1.0
Wazuh,0.5301233404749073,0.9980544117243279,0.3612166209831145,0.9961541438313184
